"","PaternalStock","Treatment","Interval","Interference.mean","Interference.sd"
"1","42","0.5x","cvv_vf",0.536617578463645,0.10896376191454
"2","42","0.5x","ycv_cvv",0.809090909090909,0.22094213495222
"3","42","0.5x","ycv_vf",0.325070884281411,0.128443359770373
"4","42","1x","cvv_vf",0.519205741476019,0.0767179476324186
"5","42","1x","ycv_cvv",0.9625,0.075
"6","42","1x","ycv_vf",0.161805555555556,0.264870251255214
"7","42","2x","cvv_vf",0.178935185185185,0.294383656082416
"8","42","2x","ycv_cvv",0.979166666666667,0.0416666666666667
"9","42","2x","ycv_vf",0.199908424908425,0.434922455963702
"10","217","0.5x","cvv_vf",0.437507337690291,0.0795345068460336
"11","217","0.5x","ycv_cvv",0.909637347225005,0.131531946549949
"12","217","0.5x","ycv_vf",0.230077445832046,0.0977041087241796
"13","217","1x","cvv_vf",0.415879882051853,0.0955648441763508
"14","217","1x","ycv_cvv",0.892857142857143,0.15733513969523
"15","217","1x","ycv_vf",0.181969121959634,0.192101331806869
"16","217","2x","cvv_vf",0.406863707931924,0.178902304005801
"17","217","2x","ycv_cvv",0.893055555555555,0.120984898557681
"18","217","2x","ycv_vf",0.285164835164835,0.203092660697147
