"","contrast","PaternalStock","vial_letter","estimate","SE","df","z.ratio","p.value"
"1","0.5x - 1x","42","A",0.319219872256845,0.213283913839785,Inf,1.49668986521242,0.292485706170952
"2","0.5x - 2x","42","A",0.793674957103427,0.255618189096858,Inf,3.10492363594161,0.00540567979285445
"3","1x - 2x","42","A",0.474455084846582,0.277925997566392,Inf,1.70712739722466,0.202462971810862
"4","0.5x - 1x","217","A",-0.152687350969247,0.184296519589327,Inf,-0.828487435950961,0.685310553397219
"5","0.5x - 2x","217","A",0.197137702761377,0.206524637779562,Inf,0.954548110486437,0.605685951301674
"6","1x - 2x","217","A",0.349825053730625,0.208822873192239,Inf,1.67522383148412,0.214727637734093
"7","0.5x - 1x","42","B",0.190748151508483,0.214430901828331,Inf,0.889555329395536,0.646909444624565
"8","0.5x - 2x","42","B",0.57565072773992,0.260744031049146,Inf,2.20772351115267,0.0698611054578361
"9","1x - 2x","42","B",0.384902576231437,0.280525000298779,Inf,1.37207940761604,0.355616982837554
"10","0.5x - 1x","217","B",0.049351164996997,0.178036860478396,Inf,0.277196333750143,0.958528453970604
"11","0.5x - 2x","217","B",0.12733573769577,0.195821449887259,Inf,0.650264502530658,0.792217865094767
"12","1x - 2x","217","B",0.0779845726987734,0.202883503461395,Inf,0.384381043151753,0.921794664334416
"13","0.5x - 1x","42","C",-0.391909089640952,0.208999461294984,Inf,-1.87516794164271,0.145897594853247
"14","0.5x - 2x","42","C",-0.00263763125043703,0.233696735993975,Inf,-0.0112865557972749,0.999929770714002
"15","1x - 2x","42","C",0.389271458390515,0.245187272971875,Inf,1.58764952875497,0.250943012112986
"16","0.5x - 1x","217","C",0.0166096459216826,0.180905636866731,Inf,0.0918138661092054,0.995363281103796
"17","0.5x - 2x","217","C",-0.050809571933356,0.199630513413456,Inf,-0.254518064721519,0.964920181478547
"18","1x - 2x","217","C",-0.0674192178550386,0.201894100440046,Inf,-0.333933570659531,0.940385750299352
"19","0.5x - 1x","42","D",0.0556632701547634,0.220192370782712,Inf,0.252793818227664,0.965385513829752
"20","0.5x - 2x","42","D",0.622490484336366,0.269677251471895,Inf,2.30827954875252,0.0546533120945477
"21","1x - 2x","42","D",0.566827214181603,0.27890298697365,Inf,2.03234544144611,0.104518353529037
"22","0.5x - 1x","217","D",0.196131274594322,0.174055628583554,Inf,1.12683098036195,0.497479908819523
"23","0.5x - 2x","217","D",0.120937114742926,0.190478332436912,Inf,0.634912712620379,0.800867237909365
"24","1x - 2x","217","D",-0.0751941598513955,0.204243405497588,Inf,-0.368159548006967,0.92801577259883
